index,counts
MORF4L1,4
C19orf53,4
C19orf25,4
C8orf33,4
C12orf57,4
C7orf50,4
C4orf33,3
C8orf58,3
C1orf216,3
C17orf107,3
C15orf39,3
C1orf21,3
C5orf24,3
C12orf43,3
C1orf198,3
C5orf22,3
C12orf4,3
C3orf70,3
C4orf46,3
C17orf49,3
C9orf85,3
C4orf36,3
C12orf29,3
C9orf78,3
C3orf62,3
C17orf58,3
C6orf120,3
C1orf174,3
C7orf57,3
C1orf159,3
C20orf96,3
C17orf75,3
C17orf80,3
C12orf56,3
C15orf40,3
C12orf60,3
CXorf38,3
MORF4L2,3
C5orf38,3
C16orf46,3
C1orf56,3
C14orf119,3
C1orf54,3
C1orf53,3
C9orf116,3
C1orf74,3
C1orf52,3
C1orf50,3
C1orf43,3
C1orf35,3
C4orf19,3
C6orf132,3
C16orf72,3
C15orf48,3
C16orf74,3
C5orf51,3
C8orf76,3
C20orf27,3
C16orf86,3
C12orf75,3
C12orf73,3
C16orf87,3
C8orf82,3
C4orf3,3
C16orf91,3
C15orf61,3
C5orf15,3
C3orf52,3
C6orf47,3
C3orf14,3
C6orf136,3
C1orf109,3
C19orf12,3
C6orf89,3
C22orf39,3
C2orf88,3
C9orf40,3
C6orf62,3
C10orf55,3
C22orf46,3
C2orf15,3
C2orf16,3
C14orf93,3
C18orf54,3
C6orf226,3
C19orf44,3
C2orf76,3
C9orf64,3
C2orf72,3
C6orf223,3
C19orf47,3
C2orf42,3
C2orf69,3
C2orf68,3
C4orf48,3
C2orf49,3
C19orf54,3
C10orf88,3
C1orf112,3
C7orf25,3
C7orf31,3
C9orf72,3
C11orf80,3
C6orf141,3
C11orf71,3
C1orf131,3
C11orf68,3
C3orf38,3
C17orf97,3
C21orf58,3
C14orf28,3
C11orf58,3
C11orf54,3
C11orf1,3
C11orf49,3
C3orf33,3
C18orf25,3
C21orf91,3
C3orf18,3
C7orf26,3
C18orf32,3
C22orf23,3
C11orf24,3
C1orf115,3
C5orf34,3
C18orf21,3
C1orf122,3
C1orf94,2
C9orf24,2
C5orf30,2
C9orf3,2
C15orf41,2
C9orf16,2
C1orf87,2
C4orf47,2
C9orf43,2
C17orf64,2
C1orf61,2
C16orf45,2
C6orf201,2
C19orf48,2
C19orf66,2
C19orf73,2
C6orf48,2
C6orf52,2
C19orf24,2
C17orf99,2
C17orf98,2
C7orf43,2
C1orf146,2
C1orf194,2
C17orf53,2
C17orf51,2
C9orf47,2
C8orf37,2
C6orf106,2
C8orf59,2
C17orf100,2
C5orf56,2
C16orf92,2
C16orf90,2
C5orf52,2
C5orf49,2
C5orf47,2
C16orf70,2
C16orf58,2
C17orf50,2
C9orf50,2
C19orf57,2
C10orf99,2
C12orf49,2
C19orf38,2
C12orf65,2
C12orf66,2
C6orf15,2
C6orf163,2
C9orf152,2
C15orf62,2
C12orf45,2
C16orf54,2
C19orf71,2
C1orf116,2
C3orf80,2
C5orf46,2
C1orf127,2
C12orf76,2
C1orf226,2
C8orf88,2
C19orf33,2
C11orf87,2
C2orf70,2
C2orf73,2
C2orf78,2
C10orf53,2
C10orf71,2
C10orf82,2
C3orf36,2
C11orf91,2
C12orf42,2
C11orf95,2
C12orf10,2
C20orf85,2
C11orf98,2
C15orf65,2
C3orf67,2
C1orf210,2
C11orf45,2
C16orf95,2
C6orf203,2
C5orf63,2
C20orf194,2
C20orf144,2
C11orf21,2
C14orf180,2
C1orf162,2
C14orf39,2
C10orf90,2
C11orf53,2
C12orf50,2
C14orf132,2
C8orf48,2
C5orf13,1
C6orf145,1
C3orf1,1
C3orf10,1
C4orf52,1
C3orf39,1
C6orf155,1
C6orf154,1
C3orf15,1
C3orf17,1
C3orf19,1
C3orf21,1
C3orf23,1
C3orf37,1
C3orf24,1
C3orf25,1
C6orf165,1
C3orf26,1
C6orf153,1
C6orf146,1
C6orf150,1
C3orf31,1
C6orf147,1
C3orf34,1
C6orf162,1
C4orf49,1
C2orf89,1
C6orf182,1
C2orf63,1
C2orf64,1
C2orf65,1
C6orf195,1
C6orf192,1
C6orf186,1
C2orf67,1
C2orf7,1
C4orf43,1
C2orf77,1
C4orf42,1
C6orf176,1
C6orf167,1
C2orf79,1
C2orf81,1
C2orf84,1
C4orf41,1
C6orf174,1
C2orf85,1
C6orf173,1
C6orf170,1
C2orf86,1
C3orf47,1
C6orf168,1
C3orf45,1
C4orf21,1
C6orf138,1
C5orf55,1
C6orf1,1
C4orf27,1
C5orf62,1
C5orf32,1
C5orf58,1
C3orf71,1
C3orf72,1
C3orf75,1
C3orf77,1
C5orf33,1
C4orf22,1
C4orf10,1
C6orf103,1
C5orf54,1
C4orf12,1
C4orf14,1
C5orf35,1
C5orf36,1
C5orf37,1
C5orf45,1
C5orf39,1
C5orf44,1
C5orf43,1
C5orf41,1
C5orf28,1
C6orf108,1
C3orf50,1
C6orf125,1
C4orf39,1
C3orf54,1
C6orf130,1
C5orf42,1
C3orf57,1
C6orf129,1
C4orf38,1
C3orf58,1
C6orf127,1
C4orf37,1
C6orf126,1
C6orf124,1
C5orf25,1
C6orf123,1
C3orf59,1
C4orf34,1
C6orf115,1
C6orf114,1
C3orf63,1
C3orf64,1
C4orf32,1
C4orf44,1
C4orf31,1
C4orf29,1
C3orf55,1
C10orf10,1
C6orf204,1
C10orf62,1
C8orf44,1
C17orf67,1
C2orf92,1
C2orf74,1
C4orf54,1
ZHX1-C8orf76,1
C10orf105,1
C10orf113,1
C10orf120,1
C10orf67,1
CXorf40B,1
C11orf16,1
C11orf40,1
C11orf42,1
C11orf52,1
C11orf65,1
C11orf86,1
C11orf94,1
C12orf40,1
C12orf54,1
CXorf40A,1
C20orf204,1
C16orf78,1
C9orf89,1
C9orf6,1
C9orf66,1
C9orf68,1
C9orf69,1
C9orf7,1
C9orf75,1
C9orf80,1
C9orf82,1
C9orf86,1
C9orf9,1
C6orf222,1
C9orf91,1
C9orf93,1
C9orf95,1
C9orf96,1
C9orf98,1
CXorf56,1
CXorf21,1
C11orf74,1
C11orf96,1
C12orf71,1
C16orf89,1
C9orf46,1
C7orf61,1
C3orf20,1
C3orf22,1
C3orf84,1
C4orf17,1
C4orf45,1
C4orf51,1
C6orf118,1
C6orf58,1
C7orf33,1
C8orf34,1
C2orf66,1
C8orf74,1
C8orf86,1
C9orf131,1
C9orf135,1
C9orf153,1
C9orf57,1
C9orf92,1
CXorf58,1
CXorf65,1
C2orf80,1
C2orf50,1
C16orf96,1
C1orf158,1
C17orf78,1
C18orf63,1
C19orf18,1
C19orf67,1
C19orf81,1
C19orf84,1
C1orf100,1
C1orf105,1
C1orf141,1
C1orf185,1
C22orf42,1
C1orf189,1
C1orf68,1
C20orf141,1
C20orf173,1
C20orf202,1
C21orf140,1
C21orf62,1
C22orf15,1
C22orf31,1
C9orf5,1
C9orf44,1
C6orf208,1
C7orf52,1
C7orf40,1
C7orf41,1
C7orf42,1
C7orf44,1
C7orf45,1
C7orf46,1
C7orf47,1
C7orf49,1
C7orf51,1
C7orf55,1
C7orf36,1
C7orf59,1
C2orf56,1
C7orf60,1
C7orf63,1
C7orf64,1
C7orf68,1
C7orf70,1
C7orf72,1
C8ORFK29,1
C7orf38,1
C7orf30,1
C8orf39,1
C6orf70,1
C6orf211,1
C6orf217,1
C6orf221,1
C6orf225,1
C6orf227,1
C6orf25,1
C6orf35,1
C6orf57,1
C6orf64,1
C6orf72,1
C7orf28B,1
C6orf81,1
C6orf97,1
C7orf10,1
C7orf11,1
C7orf13,1
C7orf20,1
C7orf23,1
C7orf27,1
C7orf28A,1
C8orf38,1
C8orf40,1
C9orf41,1
C9orf169,1
C9orf129,1
C9orf130,1
C9orf139,1
C9orf140,1
C9orf142,1
C9orf150,1
C9orf156,1
C9orf163,1
C9orf167,1
C9orf170,1
C9orf125,1
C9orf171,1
C9orf172,1
C9orf173,1
C9orf21,1
C9orf23,1
C9orf25,1
C9orf30,1
C9orf37,1
C9orf4,1
C9orf128,1
C9orf123,1
C8orf41,1
C8orf83,1
C8orf42,1
C8orf47,1
C8orf51,1
C8orf55,1
C8orf56,1
C8orf71,1
C8orf73,1
C8orf77,1
C8orf79,1
C8orf84,1
C9orf122,1
C8orf85,1
C9orf100,1
C9orf102,1
C9orf103,1
C9orf106,1
C9orf109,1
C9orf110,1
C9orf114,1
C9orf119,1
C2orf60,1
C20orf94,1
C2orf55,1
C15orf24,1
C14orf43,1
C14orf45,1
C14orf50,1
C14orf70,1
C14orf73,1
C14orf79,1
C14orf80,1
C15orf17,1
C15orf2,1
C15orf23,1
C15orf26,1
C15orf58,1
C15orf27,1
C15orf29,1
C15orf33,1
C15orf34,1
C15orf37,1
C15orf38,1
C15orf42,1
C15orf44,1
C15orf51,1
C15orf56,1
C14orf4,1
C14orf38,1
C14orf37,1
C14orf33,1
C14orf138,1
C14orf142,1
C14orf143,1
C14orf145,1
C14orf149,1
C14orf153,1
C14orf156,1
C14orf162,1
C14orf166,1
C14orf167,1
C14orf169,1
C14orf174,1
C14orf176,1
C14orf178,1
C14orf179,1
C14orf181,1
C14orf182,1
C14orf184,1
C14orf2,1
C14orf21,1
C14orf23,1
C15orf57,1
C15orf59,1
C2orf54,1
C17orf37,1
C16orf81,1
C16orf88,1
C16orf93,1
C17orf101,1
C17orf102,1
C17orf104,1
C17orf105,1
C17orf106,1
C17orf108,1
C17orf28,1
C17orf39,1
C15orf60,1
C17orf42,1
C17orf44,1
C17orf46,1
C17orf48,1
C17orf55,1
C17orf56,1
C17orf57,1
C17orf59,1
C17orf61,1
C17orf62,1
C16orf80,1
C16orf79,1
C16orf75,1
C16orf73,1
C15orf63,1
C16orf10,1
C16orf11,1
C16orf13,1
C16orf35,1
C16orf38,1
C16orf42,1
C16orf48,1
C16orf5,1
C16orf52,1
C16orf53,1
C16orf55,1
C16orf57,1
C16orf59,1
C16orf61,1
C16orf62,1
C16orf63,1
C16orf67,1
C16orf68,1
C16orf7,1
C16orf71,1
C14orf135,1
C14orf133,1
C14orf128,1
C11orf30,1
C10orf76,1
C10orf78,1
C10orf79,1
C10orf84,1
C10orf93,1
C10orf95,1
C11orf10,1
C11orf17,1
C11orf2,1
C11orf20,1
C11orf31,1
C14orf126,1
C11orf35,1
C11orf36,1
C11orf46,1
C11orf48,1
C11orf51,1
C11orf57,1
C11orf59,1
C11orf61,1
C11orf63,1
C11orf67,1
C10orf75,1
C10orf72,1
C10orf58,1
C10orf57,1
C10orf107,1
C10orf111,1
C10orf114,1
C10orf116,1
C10orf118,1
C10orf119,1
C10orf125,1
C10orf131,1
C10orf137,1
C10orf140,1
C10orf18,1
C10orf2,1
C10orf25,1
C10orf28,1
C10orf32,1
C10orf35,1
C10orf4,1
C10orf41,1
C10orf46,1
C10orf47,1
C10orf54,1
C11orf70,1
C11orf75,1
C11orf82,1
C12orf62,1
C12orf69,1
C13orf1,1
C13orf15,1
C13orf18,1
C13orf23,1
C13orf27,1
C13orf31,1
C13orf33,1
C13orf34,1
C13orf35,1
C13orf36,1
C13orf37,1
C13orf38,1
C14orf1,1
C14orf101,1
C14orf102,1
C14orf104,1
C14orf106,1
C14orf109,1
C14orf115,1
C14orf118,1
C12orf68,1
C12orf61,1
C11orf83,1
C12orf53,1
C11orf84,1
C11orf88,1
C11orf9,1
C11orf90,1
C11orf92,1
C11orf93,1
C12orf11,1
C12orf12,1
C12orf23,1
C12orf24,1
C12orf26,1
C12orf32,1
C12orf34,1
C12orf35,1
C12orf39,1
C12orf41,1
C12orf44,1
C12orf47,1
C12orf48,1
C12orf5,1
C12orf52,1
C17orf63,1
C17orf65,1
C17orf68,1
C20orf199,1
C20orf117,1
C20orf12,1
C20orf132,1
C20orf134,1
C20orf135,1
C20orf151,1
C20orf165,1
C20orf166,1
C20orf177,1
C20orf195,1
C20orf20,1
C1orf55,1
C20orf200,1
C20orf201,1
C20orf24,1
C20orf26,1
C20orf29,1
C20orf3,1
C20orf30,1
C20orf4,1
C20orf43,1
C20orf46,1
C20orf112,1
C20orf111,1
C20orf11,1
C20orf108,1
C1orf58,1
C1orf59,1
C1orf63,1
C1orf65,1
C1orf66,1
C1orf69,1
C1orf70,1
C1orf77,1
C1orf83,1
C1orf84,1
C1orf86,1
C1orf88,1
C1orf89,1
C1orf9,1
C1orf91,1
C1orf92,1
C1orf93,1
C1orf95,1
C1orf96,1
C1orf97,1
C20orf103,1
C20orf56,1
C20orf7,1
C20orf72,1
C22orf28,1
C22orf30,1
C22orf32,1
C22orf36,1
C22orf40,1
C22orf41,1
C22orf45,1
C22orf9,1
C2orf18,1
C2orf24,1
C2orf27B,1
C2orf28,1
C2orf29,1
C2orf3,1
C2orf34,1
C2orf39,1
C2orf40,1
C2orf43,1
C2orf44,1
C2orf47,1
C2orf52,1
C2orf53,1
C22orf29,1
C22orf27,1
C10orf104,1
C22orf26,1
C20orf95,1
C21orf119,1
C21orf122,1
C21orf128,1
C21orf2,1
C21orf29,1
C21orf33,1
C21orf45,1
C21orf49,1
C21orf56,1
C21orf57,1
C21orf59,1
C21orf63,1
C21orf66,1
C21orf67,1
C21orf70,1
C21orf81,1
C21orf99,1
C22orf13,1
C22orf24,1
C22orf25,1
C1orf57,1
C1orf51,1
C17orf70,1
C19orf36,1
C19orf2,1
C19orf20,1
C19orf21,1
C19orf22,1
C19orf23,1
C19orf26,1
C19orf28,1
C19orf29,1
C19orf34,1
C19orf35,1
C19orf39,1
C1orf38,1
C19orf40,1
C19orf41,1
C19orf42,1
C19orf43,1
C19orf45,1
C19orf46,1
C19orf50,1
C19orf51,1
C19orf52,1
C19orf55,1
C19orf10,1
C18orf8,1
C18orf56,1
C18orf55,1
C17orf71,1
C17orf76,1
C17orf79,1
C17orf81,1
C17orf82,1
C17orf85,1
C17orf86,1
C17orf89,1
C17orf90,1
C17orf91,1
C17orf93,1
C17orf95,1
C17orf96,1
C18orf1,1
C18orf10,1
C18orf16,1
C18orf18,1
C18orf19,1
C18orf22,1
C18orf34,1
C18orf45,1
C19orf56,1
C19orf59,1
C19orf6,1
C1orf156,1
C1orf170,1
C1orf172,1
C1orf177,1
C1orf182,1
C1orf183,1
C1orf187,1
C1orf190,1
C1orf200,1
C1orf203,1
C1orf204,1
C1orf212,1
C1orf213,1
C1orf220,1
C1orf223,1
C1orf228,1
C1orf229,1
C1orf230,1
C1orf25,1
C1orf26,1
C1orf27,1
C1orf31,1
C1orf163,1
C1orf151,1
C19orf60,1
C1orf144,1
C19orf61,1
C19orf63,1
C19orf69,1
C19orf70,1
C19orf76,1
C19orf77,1
C1orf101,1
C1orf103,1
C1orf104,1
C1orf106,1
C1orf107,1
C1orf113,1
C1orf114,1
C1orf123,1
C1orf124,1
C1orf125,1
C1orf126,1
C1orf128,1
C1orf133,1
C1orf135,1
C1orf14,1
CXorf66,1
